action_norm_mean,azimuth,duration,elevation,episode_steps,family,geometry_hash,horizontal_distance,map_id,obstacle_count,obstacle_depth_mean,obstacle_height_mean,obstacle_width_mean,path_length,path_straight_ratio,start_goal_distance,task_id,vertical_displacement
,,,,,SINGLE_BLOCK,a36c1b8e6c288e3a4233e8747c0b35c7591007e6b277f52d246a5142e10ebaf5,,SINGLE_BLOCK_048,1,0.6299895388527726,0.728866720778805,0.43623205502347284,,,,,
,,,,,SINGLE_BLOCK,4223164c7f287bf23332693aef298b9cb4e9f97333bc23a3eb0134e87ceab809,,SINGLE_BLOCK_049,1,0.8890245058909771,0.8866873950150294,0.49312138531957206,,,,,
,,,,,SINGLE_BLOCK,83a165918e13ab60e188f56415fe77b3505c53ba4c59636bf2ffba793da2fd97,,SINGLE_BLOCK_050,1,0.7454969251031203,1.4246555622369095,0.6117599364768967,,,,,
,,,,,SINGLE_BLOCK,2bb1ae03c91b63e4123b19ce7b55a3fca707f43cfc686dea3b9d68883daeb5b8,,SINGLE_BLOCK_051,1,0.8136167644652043,1.4691919359258683,0.6944255015006267,,,,,
,,,,,SINGLE_BLOCK,5e1f9813b6fa22b831d501d6241f33f4b586b3d5c483c2df49540fccdf9104e7,,SINGLE_BLOCK_052,1,0.6809789380905965,1.3307343293701326,0.5263916081419795,,,,,
,,,,,SINGLE_BLOCK,85874a75e31b3658107c1d4063b63ad4471fac0729247411a98ce208db7b5c83,,SINGLE_BLOCK_053,1,0.6283661124529701,0.9252521756729991,0.6564517864305691,,,,,
,,,,,SINGLE_BLOCK,2f9b6b64db75ce579cf221786ad5222fe9c8368f2e7aeccf810f9d6262d47a7d,,SINGLE_BLOCK_054,1,0.6956812504373363,1.2353930391360441,0.6809884437075173,,,,,
,,,,,SINGLE_BLOCK,6cf7101b31a97ce15b55d350ba66276a26e7968e450bdf127d48947cbe3354dd,,SINGLE_BLOCK_055,1,0.741812689347139,1.2066658286301752,0.41269988102295196,,,,,
,,,,,SINGLE_BLOCK,02f4fcf196bffb28790401089e2da36c52d71d46b2285c4c2fd49f2d429111df,,SINGLE_BLOCK_056,1,0.615424498630494,1.0753772332372775,0.6134743251593255,,,,,
,,,,,SINGLE_BLOCK,64d89bc5e7b575eccea460dc7b82361b64cf7765ab7a8090c3b27b1889bddf6b,,SINGLE_BLOCK_057,1,0.5125828047078896,0.73282632180112,0.5734097638957318,,,,,
,,,,,SINGLE_BLOCK,aefcb38a581f6086eb6ac3e6f69abdf0027c09b96c188b3c06e43c7300e403ee,,SINGLE_BLOCK_058,1,0.6280662160259166,1.0583883755754018,0.6992187593301609,,,,,
