update,train_loss,val_loss,gradient_norm
134,0.007737703621387482,,0.014874981716275215
135,0.006836216896772385,,0.010880223475396633
136,0.006501971744000912,,0.022042015567421913
137,0.006294155027717352,,0.015822291374206543
138,0.0070646982640028,,0.011120897717773914
139,0.007049061357975006,,0.019592635333538055
140,0.00673893466591835,,0.021080825477838516
141,0.006706292741000652,,0.012331237085163593
142,0.006122836377471685,,0.020324721932411194
143,0.006363952532410622,,0.019317565485835075
144,0.006042712368071079,,0.015486843883991241
145,0.006513670086860657,,0.013628299348056316
146,0.00629768893122673,,0.023076510056853294
147,0.006037447601556778,,0.01900560036301613
148,0.006630591582506895,,0.013732707127928734
149,0.006271048448979855,,0.01410638727247715
150,0.005454931408166885,,0.01580713503062725
151,0.006719646509736776,,0.009148112498223782
152,0.006776717491447926,,0.012971467338502407
153,0.005786322057247162,,0.01972687989473343
154,0.005282526835799217,,0.008428665809333324
155,0.0051668426021933556,,0.009935006499290466
156,0.005278739612549543,,0.01592399738729
157,0.0058774626813828945,,0.018377218395471573
158,0.00569535419344902,,0.02565462328493595
159,0.006140870973467827,,0.017219990491867065
160,0.0051544178277254105,,0.014906825497746468
161,0.0055692000314593315,,0.024273589253425598
162,0.005120923742651939,,0.018791906535625458
163,0.0057701244950294495,,0.01812264882028103
164,0.005528975278139114,,0.01949474774301052
165,0.005558836739510298,,0.02760683186352253
166,0.004724662285298109,,0.02059216983616352
167,0.0048253717832267284,,0.013556580990552902
168,0.004472052678465843,,0.028798088431358337
169,0.005889145191758871,,0.019585708156228065
170,0.0055243088863790035,,0.010729928500950336
171,0.004824792966246605,,0.024114122614264488
172,0.00443712854757905,,0.018310653045773506
173,0.00533642154186964,,0.013164367526769638
174,0.004939225502312183,,0.009890963323414326
175,0.0045582614839077,,0.015247467905282974
176,0.004144326318055391,,0.014800206758081913
177,0.004960708320140839,,0.011516108177602291
178,0.004770279861986637,,0.012658540159463882
179,0.0055857691913843155,,0.013189892284572124
180,0.005045638419687748,,0.013179096393287182
181,0.004799035377800465,,0.01058561448007822
182,0.005128955468535423,,0.012682754546403885
183,0.004000332672148943,,0.016773466020822525
184,0.004902029410004616,,0.009282098151743412
185,0.004348627291619778,,0.012342511676251888
186,0.004197281785309315,,0.012549299746751785
187,0.005149594508111477,,0.01102332305163145
188,0.004575140308588743,,0.009571123868227005
189,0.004124727100133896,,0.0153708066791296
190,0.004063081927597523,,0.01014551892876625
191,0.00432448647916317,,0.01752568408846855
192,0.0048765260726213455,,0.009426506236195564
193,0.004469491541385651,,0.010786096565425396
194,0.00396806001663208,,0.014402350410819054
195,0.004296991042792797,,0.019323935732245445
196,0.003839361947029829,,0.013206214644014835
197,0.004124512430280447,,0.013507588766515255
198,0.004071330651640892,,0.00937802717089653
199,0.00405274098739028,,0.012111365795135498
200,0.004114603623747826,,0.01412375271320343
201,0.0049643125385046005,,0.010136130265891552
202,0.003870979882776737,,0.011517803184688091
203,0.004219728987663984,,0.014435956254601479
204,0.004135611467063427,,0.011323845945298672
205,0.0038412127178162336,,0.009719609282910824
206,0.005355598405003548,,0.012668374925851822
207,0.004275744315236807,,0.00999501347541809
208,0.003869830397889018,,0.01303649041801691
209,0.0034285131841897964,,0.012210192158818245
210,0.0037936631124466658,,0.012266757898032665
211,0.004554995335638523,,0.010756472125649452
212,0.0036433800123631954,,0.008553706109523773
213,0.00404474139213562,,0.011538594029843807
214,0.003628368256613612,,0.011347985826432705
215,0.003821004182100296,,0.01158027071505785
216,0.003950547426939011,,0.012178771197795868
217,0.0034998643677681684,,0.013642116449773312
218,0.0034532579593360424,,0.015248947776854038
219,0.004729848355054855,,0.015880964696407318
220,0.004835216328501701,,0.009083895944058895
